Cours d'eau, Embouchure, Bassin, Longueur (km)
Selle,Somme,Somme,39
Tarnon,Tarn,Garonne,39
Toulourenc,Ouvèze,Rhône,39
Touyre,Hers-Vif,Garonne,39
Varenne,Arques,Arques,39
Vauvre,Indre,Loire,39
Yvette,Orge,Seine,39
Arcueil,Alagnon,Loire,38
Auzance,Océan Atlantique,Auzance,38
Bez,Midouze,Adour,38
Boucheuse,Auvézère,Dordogne,38
Bouleure,Dive du Sud,Loire,38
Caudeau,Dordogne,Dordogne,38
Fare,Loir,Loire,38
Hurtaut,Serre,Seine,38
Liane,Manche,Liane,38
Maye,Manche,Maye,38
Meuzin,Dheune,Rhône,38
Mosson,Lez,Lez,38
Orvin,Seine,Seine,38
Petite Séoune,Séoune,Garonne,38
Scie,Manche,Scie,38
Sédelle,Creuse,Loire,38
Tholon,Yonne,Seine,38
Treulon,Erve,Loire,38
Vaux,Aisne,Seine,38
Véore,Rhône,Rhône,38
Vizézy,Lignon du Forez,Loire,38
Ailloux,Eau Mère,Loire,37
Ancre,Somme,Somme,37
Argent-Double,Aude,Aude,37
Assou,Dadou,Garonne,37
Bave,Dordogne,Dordogne,37
Bravona,Mer Méditerranée (mer Tyrrhénienne),Bravona,37
Brune,Vilpion,Seine,37
Combeauté,Semouse,Rhône,37
Dolore,Dore,Loire,37
Égrenne,Varenne,Loire,37
Ger,Garonne,Garonne,37
Gland,Oise,Seine,37
Guat mort,Garonne,Garonne,37
Igneraie,Indre,Loire,37
Izaute,Gélise,Garonne,37
Lauquet,Aude,Aude,37
Longeau,Yron,Rhin,37
Maumont,Corrèze,Dordogne,37
Notreure,Loire,Loire,37
Petite Rhue,Rhue,Dordogne,37
Puiseaux,Loing,Seine,37
Réart,Mer Méditerranée,Réart,37
Rimeize,Truyère,Garonne,37
Rivière Saint-Éloi,Océan Atlantique,Rivière Saint-Éloi,37
Vernisson,Puiseaux,Seine,37
Vicdessos,Ariège,Garonne,37
Vrin,Yonne,Seine,37
Yron,Orne,Rhin,37
Ander,Truyère,Garonne,36
Aron,Mayenne,Loire,36
Aubance,Loire,Loire,36
Barbuise,Aube,Seine,36
Chalaux,Cure,Seine,36
Chambon,Sèvre Niortaise,Sèvre Niortaise,36
Colostre,Verdon,Rhône,36
Devise,Charente,Charente,36
Eau Mère,Allier,Loire,36
Ehn,Ill,Rhin,36
Jabron,Durance,Rhône,36
Joos,Gave d'Oloron,Adour,36
Lez,Salat,Garonne,36
Linon,Rance,Rance,36
Marcaoue,Gimone,Garonne,36
Merderet,Douve,Douve,36
Mesvrin,Arroux,Loire,36
Nive des Aldudes,Nive,Adour,36
Ozerain,Brenne,Seine,36
Paillon,Mer Méditerranée,Paillon,36
Rance,Célé,Garonne,36
Rémarde,Orge,Seine,36
Roudon,Loire,Loire,36
Suin,Creuse,Loire,36
Arcis,Léez,Adour,35
Auzon,Sorgue,Rhône,35
Barguelonnette,Barguelonne,Garonne,35
Bezonde,Loing,Seine,35
Bièvre,Seine,Seine,35
Borne,Chassezac,Rhône,35
Boulès,Têt,Têt,35
Bresque,Argens,Argens,35
Cantache,Vilaine,Vilaine,35
Clauge,Doubs,Rhône,35
Couasnon,Authion,Loire,35
Couze,Gartempe,Loire,35
Crieu,Ariège,Garonne,35
Desges,Allier,Loire,35
Doulon,Senouire,Loire,35
Durbion,Moselle,Rhin,35
Gresse,Drac,Rhône,35
Lémance,Lot,Garonne,35
Loddes,Loire,Loire,35
Mauldre,Seine,Seine,35
Mède,Sorgue,Rhône,35
Orthe,Sarthe,Loire,35
Ouette,Mayenne,Loire,35
Rivière d'Étel,Océan Atlantique,Rivière d'Étel,35
Sarre,Blavet,Blavet,35
Soloire,Charente,Charente,35
Son-Sonnette,Charente,Charente,35
Tagnone,Tavignano,Tavignano,35
Tarentaine,Rhue,Dordogne,35
Tenu,Acheneau,Loire,35
Vert,Gave d'Oloron,Adour,35
Veynon,Aron,Loire,35
Andrable,Ance,Loire,34
Apance,Saône,Rhône,34
Ardour,Gartempe,Loire,34
Asco,Golo,Golo,34
Aussoue,Save,Garonne,34
Automne,Oise,Seine,34
Auxence,Seine,Seine,34
Betz,Loing,Seine,34
Borne,Arve,Rhône,34
Boulzane,Agly,Agly,34
Brivet,Loire,Loire,34
Erclin,Escaut,Escaut,34
Flûme,Vilaine,Vilaine,34
Fusain,Loing,Seine,34
Gère,Rhône,Rhône,34
Giessen,Ill,Rhin,34
Illet,Ille,Vilaine,34
Inam,Ellé,Ellé,34
Naon,Sauldre,Loire,34
Nartuby,Argens,Argens,34
Norges,Tille,Rhône,34
Ouin,Sèvre Nantaise,Loire,34
Plaine,Meurthe,Rhin,34
Rébenty,Aude,Aude,34
Roanne,Drôme,Rhône,34
Rougeanne,Fresquel,Aude,34
Rozeille,Creuse,Loire,34
Seuge,Allier,Loire,34
Sonne,Abloux,Loire,34
Sousson,Gers,Garonne,34
Thève,Oise,Seine,34
Vénéon,Romanche,Rhône,34
Vixiège,Hers-Vif,Garonne,34
Aber-Wrac'h,Manche,Aber-Wrac'h,33
Abron,Acolin,Loire,33
Albe,Sarre,Rhin,33
Araize,Oudon,Loire,33
Ay,Manche,Ay,33
Bradascou,Vézère,Dordogne,33
Céroux,Allier,Loire,33
Clarence,Lys,Escaut,33
Dessoubre,Doubs,Rhône,33
Dême,Loir,Loire,33
Dolon,Rhône,Rhône,33
Écaillon,Escaut,Escaut,33
Guyoult,Manche,Guyoult,33
Ibie,Ardèche,Rhône,33
Issoire,Boulogne,Loire,33
Laigne,Seine,Seine,33
Logne,Boulogne,Loire,33
Luech,Cèze,Rhône,33
Mère,Vendée,Sèvre Niortaise,33
Meuvette,Avre,Seine,33
Miosson,Clain,Loire,33
Mossig,Bruche,Rhin,33
Nère,Louge,Garonne,33
Noirieu,Oise,Seine,33
Noxe,Seine,Seine,33
Noye,Avre,Somme,33
Oule,Eygues,Rhône,33
Ouzoum,Gave de Pau,Adour,33
Peyne,Hérault,Hérault,33
Pique,Garonne,Garonne,33
Quincampoix,Seiche,Vilaine,33
Renon,Fouzon,Loire,33
Rosselle,Sarre,Rhin,3321
Ruisseau de la Hure,Ciron,Garonne,33
Seltzbach,Sauer,Rhin,33
Séveraisse,Drac,Rhône,33
Sèves,Douve,Douve,33
Sianne,Alagnon,Loire,33
Solin,Loing,Seine,33
Thongue,Hérault,Hérault,33
Tusson,Braye,Loire,33
Vaunoise,Meu,Vilaine,33
Vence,Meuse,Meuse,33
Venelle,Tille,Rhône,33
Veyre,Allier,Loire,33
Veyre,Célé,Garonne,33
